"","County_Unit","Fire_Name","Start_Date","Controlled_Date","Total_Acres_Burned","Cause","Structures_Destroyed","Structures_Damaged","structure_impact","interv","dur","days"
"1","VENTURA/SANTA BARBARA","THOMAS",2017-12-04,2018-01-12,281893,"UNDETERMINED",16,274,290,2017-12-04 UTC--2018-01-12 UTC,3369600s (~5.57 weeks),39
"2","VENTURA","WOOLSEY",2018-11-08,2018-11-22,96949,"UNDETERMINED",1643,364,2007,2018-11-08 UTC--2018-11-22 UTC,1209600s (~2 weeks),14
"3","LOS ANGELES","SAND",2016-07-22,2016-08-06,41383,"UNDETERMINED",116,2,118,2016-07-22 UTC--2016-08-06 UTC,1296000s (~2.14 weeks),15
"4","SANTA BARBARA","REY",2016-08-18,2016-09-15,32606,"UNDETERMINED",5,0,5,2016-08-18 UTC--2016-09-15 UTC,2419200s (~4 weeks),28
"5","ORANGE","HOLY",2018-08-06,2018-09-14,23025,"ARSON",24,18,42,2018-08-06 UTC--2018-09-14 UTC,3369600s (~5.57 weeks),39
"6","SAN DIEGO","BASILONE COMPLEX",2014-05-17,2014-05-19,21240,"UNDETERMINED",0,1,1,2014-05-17 UTC--2014-05-19 UTC,172800s (~2 days),2
"7","SANTA BARBARA","WHITTIER",2017-07-08,2017-10-05,18430,"UNDETERMINED",4,7,11,2017-07-08 UTC--2017-10-05 UTC,7689600s (~12.71 weeks),89
"8","LOS ANGELES","CREEK",2017-12-05,2017-12-29,15619,"UNDETERMINED",123,81,204,2017-12-05 UTC--2017-12-29 UTC,2073600s (~3.43 weeks),24
"9","SANTA BARBARA","CANYON",2016-09-17,2016-09-24,12742,"UNDETERMINED",0,0,0,2016-09-17 UTC--2016-09-24 UTC,604800s (~1 weeks),7
"10","ORANGE","CANYON 2",2017-10-09,2017-10-17,9217,"MISCELLANEOUS",25,55,80,2017-10-09 UTC--2017-10-17 UTC,691200s (~1.14 weeks),8
"11","SAN DIEGO","BORDER 3",2016-06-19,2016-07-01,7609,"UNDETERMINED",16,3,19,2016-06-19 UTC--2016-07-01 UTC,1036800s (~1.71 weeks),12
"12","SANTA BARBARA","SHERPA",2016-06-15,2016-06-23,7474,"UNDETERMINED",5,0,5,2016-06-15 UTC--2016-06-23 UTC,691200s (~1.14 weeks),8
"13","LOS ANGELES","LA TUNA",2017-09-01,2017-09-08,7194,"UNDETERMINED",5,0,5,2017-09-01 UTC--2017-09-08 UTC,604800s (~1 weeks),7
"14","LOS ANGELES","RYE",2017-12-05,2017-12-15,6049,"UNDETERMINED",6,3,9,2017-12-05 UTC--2017-12-15 UTC,864000s (~1.43 weeks),10
"15","VENTURA","HILL",2018-11-08,2018-11-16,4381,"UNDETERMINED",4,2,6,2018-11-08 UTC--2018-11-16 UTC,691200s (~1.14 weeks),8
"16","LOS ANGELES","FISH",2016-06-20,2016-07-05,4253,"HUMAN",0,0,0,2016-06-20 UTC--2016-07-05 UTC,1296000s (~2.14 weeks),15
"17","SAN DIEGO","LILAC 5",2017-12-07,2017-12-16,4088,"UNDETERMINED",157,64,221,2017-12-07 UTC--2017-12-16 UTC,777600s (~1.29 weeks),9
"18","SAN DIEGO","CARL",2015-04-28,2015-04-29,4000,"UNDETERMINED",0,0,0,2015-04-28 UTC--2015-04-29 UTC,86400s (~1 days),1
"19","LOS ANGELES","CHARLIE",2018-09-22,2018-09-30,3380,"UNDETERMINED",0,0,0,2018-09-22 UTC--2018-09-30 UTC,691200s (~1.14 weeks),8
"20","ORANGE","CANYON",2017-09-25,2017-10-03,2662,"MISCELLANEOUS",0,7,7,2017-09-25 UTC--2017-10-03 UTC,691200s (~1.14 weeks),8
"21","SAN DIEGO","SAN DIEGO COMPLEX",2014-05-14,2014-05-22,2438,"UNDETERMINED",48,5,53,2014-05-14 UTC--2014-05-22 UTC,691200s (~1.14 weeks),8
"22","VENTURA","PINE",2016-06-30,2016-07-17,2304,"UNDETERMINED",0,0,0,2016-06-30 UTC--2016-07-17 UTC,1468800s (~2.43 weeks),17
"23","SAN DIEGO","GATE",2017-05-20,2017-05-22,2056,"UNDETERMINED",0,0,0,2017-05-20 UTC--2017-05-22 UTC,172800s (~2 days),2
"24","SAN DIEGO","GRENADE",2015-04-29,2015-05-05,2025,"UNDETERMINED",0,0,0,2015-04-29 UTC--2015-05-05 UTC,518400s (~6 days),6
"25","LOS ANGELES","COLBY",2014-01-16,2014-01-24,1952,"UNDETERMINED",15,8,23,2014-01-16 UTC--2014-01-24 UTC,691200s (~1.14 weeks),8
"26","SAN DIEGO","HORNO",2015-08-13,2015-08-17,1846,"HUMAN",0,0,0,2015-08-13 UTC--2015-08-17 UTC,345600s (~4 days),4
"27","LOS ANGELES","CABIN",2015-08-14,2015-08-20,1723,"UNDETERMINED",3,0,3,2015-08-14 UTC--2015-08-20 UTC,518400s (~6 days),6
"28","SAN DIEGO","BERNARDO",2014-05-13,2014-05-21,1548,"EQUIPMENT USE",0,0,0,2014-05-13 UTC--2014-05-21 UTC,691200s (~1.14 weeks),8
"29","SAN DIEGO","PENDLETON COMPLEX",2018-07-06,2018-07-10,1520,"UNDETERMINED",0,0,0,2018-07-06 UTC--2018-07-10 UTC,345600s (~4 days),4
"30","LOS ANGELES","STONE",2018-06-04,2018-06-08,1352,"HUMAN",0,0,0,2018-06-04 UTC--2018-06-08 UTC,345600s (~4 days),4
"31","VENTURA","SOLIMAR",2015-12-25,2015-12-28,1288,"UNDETERMINED",0,0,0,2015-12-25 UTC--2015-12-28 UTC,259200s (~3 days),3
"32","SAN DIEGO","ROBLAR",2016-07-21,2016-07-27,1245,"UNDETERMINED",0,0,0,2016-07-21 UTC--2016-07-27 UTC,518400s (~6 days),6
"33","LOS ANGELES","RESERVOIR",2016-06-20,2016-07-05,1146,"HUMAN",0,0,0,2016-06-20 UTC--2016-07-05 UTC,1296000s (~2.14 weeks),15
"34","LOS ANGELES","SAGE",2016-07-09,2016-07-16,1100,"CAMPFIRE",0,2,2,2016-07-09 UTC--2016-07-16 UTC,604800s (~1 weeks),7
"35","SAN DIEGO","BUFFALO",2017-10-17,2017-10-19,1088,"UNDETERMINED",0,0,0,2017-10-17 UTC--2017-10-19 UTC,172800s (~2 days),2
"36","ORANGE","SILVERADO",2014-09-12,2014-09-20,985,"UNDETERMINED",0,0,0,2014-09-12 UTC--2014-09-20 UTC,691200s (~1.14 weeks),8
"37","LOS ANGELES","LAKE",2017-06-17,2017-06-23,850,"UNDETERMINED",0,2,2,2017-06-17 UTC--2017-06-23 UTC,518400s (~6 days),6
"38","SAN DIEGO","MORTAR",2015-04-28,2015-04-29,800,"UNDETERMINED",0,0,0,2015-04-28 UTC--2015-04-29 UTC,86400s (~1 days),1
"39","SAN DIEGO","CRISTIANITOS",2017-06-28,2017-07-01,761,"UNDETERMINED",0,0,0,2017-06-28 UTC--2017-07-01 UTC,259200s (~3 days),3
"40","LOS ANGELES","PLACERITA",2017-06-25,2017-06-28,760,"DEBRIS BURNING",1,1,2,2017-06-25 UTC--2017-06-28 UTC,259200s (~3 days),3
"41","SANTA BARBARA","MIGUELITO",2014-05-13,2014-05-16,632,"UNDETERMINED",0,0,0,2014-05-13 UTC--2014-05-16 UTC,259200s (~3 days),3
"42","SAN DIEGO","POINSETTIA",2014-05-14,2014-05-17,600,"UNDETERMINED",28,0,28,2014-05-14 UTC--2014-05-17 UTC,259200s (~3 days),3
"43","SAN DIEGO","WEST",2018-07-06,2018-07-10,505,"UNDETERMINED",48,14,62,2018-07-06 UTC--2018-07-10 UTC,345600s (~4 days),4
